scenario,seed,intersection_id,step_time_seconds,solver,selected_phase_0_green_seconds,selected_phase_2_green_seconds,qubo_objective,exact_objective,objective_gap,relative_objective_gap,exact_optimum_recovered,runtime_seconds,circuit_depth_p,shots,valid,failure_reason
Low,303,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.8416,2,2048,True,
Low,303,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.79341,2,2048,True,
Low,303,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.99529,2,2048,True,
Low,303,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.74014,2,2048,True,
Low,303,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.64154,2,2048,True,
Low,303,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.63685,2,2048,True,
Low,303,J1,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.66531,2,2048,True,
Low,303,J2,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.71173,2,2048,True,
Low,303,J3,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.77475,2,2048,True,
Low,303,J4,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.56366,2,2048,True,
Low,303,J1,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.69404,2,2048,True,
Low,303,J2,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.5654,2,2048,True,
Low,303,J3,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.71159,2,2048,True,
Low,303,J4,46.0,qaoa,40,22,0.528273,0.528273,0.0,0.0,True,0.62391,2,2048,True,
Low,404,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.64689,2,2048,True,
Low,404,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.63775,2,2048,True,
Low,404,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.7488,2,2048,True,
Low,404,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.60316,2,2048,True,
Low,404,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.53525,2,2048,True,
Low,404,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.59431,2,2048,True,
Low,404,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.71337,2,2048,True,
Low,404,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.7091,2,2048,True,
Low,404,J1,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.53132,2,2048,True,
Low,404,J2,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.55038,2,2048,True,
Low,404,J3,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.56492,2,2048,True,
Low,404,J4,31.0,qaoa,22,40,0.528273,0.528273,0.0,0.0,True,0.55493,2,2048,True,
Low,404,J1,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.56325,2,2048,True,
Low,404,J2,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.57173,2,2048,True,
Low,404,J3,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.65193,2,2048,True,
Low,404,J4,46.0,qaoa,40,22,0.528226,0.528226,0.0,0.0,True,0.65258,2,2048,True,
Normal,42,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.53307,2,2048,True,
Normal,42,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.87664,2,2048,True,
Normal,42,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.61491,2,2048,True,
Normal,42,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.53204,2,2048,True,
Normal,42,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.52632,2,2048,True,
Normal,42,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.5631,2,2048,True,
Normal,42,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.52128,2,2048,True,
Normal,42,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.51961,2,2048,True,
Normal,42,J1,31.0,qaoa,22,40,0.528368,0.528368,0.0,0.0,True,0.48811,2,2048,True,
Normal,42,J2,31.0,qaoa,22,40,0.528368,0.528368,0.0,0.0,True,0.56406,2,2048,True,
Normal,42,J3,31.0,qaoa,22,40,0.528368,0.528368,0.0,0.0,True,0.55453,2,2048,True,
Normal,42,J4,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.56087,2,2048,True,
Normal,42,J1,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.4853,2,2048,True,
Normal,42,J2,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.55296,2,2048,True,
Normal,42,J3,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.54271,2,2048,True,
Normal,42,J4,46.0,qaoa,40,30,2.767432,1.540943,1.226489,0.795934,False,0.56532,2,2048,True,
Normal,101,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.53223,2,2048,True,
Normal,101,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.57936,2,2048,True,
Normal,101,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.71856,2,2048,True,
Normal,101,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.60158,2,2048,True,
Normal,101,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.57481,2,2048,True,
Normal,101,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.62083,2,2048,True,
Normal,101,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.57635,2,2048,True,
Normal,101,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.59263,2,2048,True,
Normal,101,J1,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.50479,2,2048,True,
Normal,101,J2,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.53282,2,2048,True,
Normal,101,J3,31.0,qaoa,22,40,0.528368,0.528368,0.0,0.0,True,0.54206,2,2048,True,
Normal,101,J4,31.0,qaoa,22,40,0.528368,0.528368,0.0,0.0,True,0.55423,2,2048,True,
Normal,101,J1,46.0,qaoa,30,22,1.97458,1.034703,0.939878,0.908355,False,0.52339,2,2048,True,
Normal,101,J2,46.0,qaoa,30,22,1.97458,1.034703,0.939878,0.908355,False,0.57964,2,2048,True,
Normal,101,J3,46.0,qaoa,30,22,1.97458,1.034703,0.939878,0.908355,False,0.5541,2,2048,True,
Normal,101,J4,46.0,qaoa,30,22,1.97458,1.034703,0.939878,0.908355,False,0.60872,2,2048,True,
Normal,202,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.48638,2,2048,True,
Normal,202,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.55689,2,2048,True,
Normal,202,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.67083,2,2048,True,
Normal,202,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.58423,2,2048,True,
Normal,202,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.50834,2,2048,True,
Normal,202,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.54119,2,2048,True,
Normal,202,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.56771,2,2048,True,
Normal,202,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.57702,2,2048,True,
Normal,202,J1,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.57377,2,2048,True,
Normal,202,J2,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.6391,2,2048,True,
Normal,202,J3,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.67097,2,2048,True,
Normal,202,J4,31.0,qaoa,22,40,0.528368,0.528368,0.0,0.0,True,0.58438,2,2048,True,
Normal,202,J1,46.0,qaoa,40,22,1.540943,1.540943,0.0,0.0,True,0.4832,2,2048,True,
Normal,202,J2,46.0,qaoa,40,22,1.034608,1.034608,0.0,0.0,True,0.55638,2,2048,True,
Normal,202,J3,46.0,qaoa,40,22,1.540943,1.540943,0.0,0.0,True,0.53101,2,2048,True,
Normal,202,J4,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.68425,2,2048,True,
Normal,303,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,1.02102,2,2048,True,
Normal,303,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.9843,2,2048,True,
Normal,303,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.68304,2,2048,True,
Normal,303,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.65787,2,2048,True,
Normal,303,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.60003,2,2048,True,
Normal,303,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.64255,2,2048,True,
Normal,303,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.61202,2,2048,True,
Normal,303,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.75217,2,2048,True,
Normal,303,J1,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.58365,2,2048,True,
Normal,303,J2,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.62163,2,2048,True,
Normal,303,J3,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.58761,2,2048,True,
Normal,303,J4,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.63241,2,2048,True,
Normal,303,J1,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.61362,2,2048,True,
Normal,303,J2,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.64774,2,2048,True,
Normal,303,J3,46.0,qaoa,40,30,2.767432,1.540943,1.226489,0.795934,False,0.55191,2,2048,True,
Normal,303,J4,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.64111,2,2048,True,
Normal,404,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.55864,2,2048,True,
Normal,404,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.59828,2,2048,True,
Normal,404,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.67197,2,2048,True,
Normal,404,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.59662,2,2048,True,
Normal,404,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.54423,2,2048,True,
Normal,404,J2,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.57475,2,2048,True,
Normal,404,J3,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.59667,2,2048,True,
Normal,404,J4,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.60865,2,2048,True,
Normal,404,J1,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.57699,2,2048,True,
Normal,404,J2,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.62016,2,2048,True,
Normal,404,J3,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.6026,2,2048,True,
Normal,404,J4,31.0,qaoa,22,40,1.034514,1.034514,0.0,0.0,True,0.59658,2,2048,True,
Normal,404,J1,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.56391,2,2048,True,
Normal,404,J2,46.0,qaoa,40,22,1.540943,1.540943,0.0,0.0,True,0.62069,2,2048,True,
Normal,404,J3,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.57572,2,2048,True,
Normal,404,J4,46.0,qaoa,40,22,1.034703,1.034703,0.0,0.0,True,0.56595,2,2048,True,
High,42,J1,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.49162,2,2048,True,
High,42,J2,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.66644,2,2048,True,
High,42,J3,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.58223,2,2048,True,
High,42,J4,1.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.54953,2,2048,True,
High,42,J1,16.0,qaoa,30,30,0.0,0.0,0.0,0.0,True,0.50343,2,2048,True,
