scenario,seed,controller,solver,simulation_duration_seconds,total_vehicles,average_waiting_time_seconds,total_waiting_time_seconds,average_queue_length,maximum_queue_length,throughput_vehicles_per_hour,average_travel_time_seconds,total_fuel_consumption_litres,total_co2_emissions_grams,solver_runtime_seconds,qaoa_recovery_rate,qaoa_objective_gap,delta_avg_waiting_time,delta_avg_queue,delta_throughput,delta_travel_time,delta_fuel,delta_co2
Normal,303,Classical Adaptive,classical_adaptive,60.0,8,0.0,0.0,5.083,3,480.0,15.0,1.0194,2342.66,0.00081,,,0.0,0.0,0.0,0.0,0.0,0.0
Normal,303,QUBO Exact,exact,60.0,4,0.0,0.0,5.6,4,240.0,15.0,1.0347,2377.73,0.00096,,,0.0,0.517,-240.0,0.0,0.0153,35.07
Normal,303,QAOA,qaoa,60.0,4,0.0,0.0,5.6,4,240.0,15.0,1.0347,2377.73,0.18147,0.9375,0.076656,0.0,0.517,-240.0,0.0,0.0153,35.07
Normal,404,Fixed-Time,fixed,60.0,8,0.0,0.0,5.05,3,480.0,15.0,1.023,2350.8,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
Normal,404,Classical Adaptive,classical_adaptive,60.0,8,0.0,0.0,5.05,3,480.0,15.0,1.023,2350.8,0.00067,,,0.0,0.0,0.0,0.0,0.0,0.0
Normal,404,QUBO Exact,exact,60.0,4,0.0,0.0,5.667,4,240.0,15.0,1.0361,2380.94,0.00062,,,0.0,0.617,-240.0,0.0,0.0131,30.14
Normal,404,QAOA,qaoa,60.0,4,0.0,0.0,5.667,4,240.0,15.0,1.0361,2380.94,0.15876,1.0,0.0,0.0,0.617,-240.0,0.0,0.0131,30.14
High,42,Fixed-Time,fixed,60.0,12,0.0,0.0,7.333,5,720.0,15.0,1.6739,3846.79,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
High,42,Classical Adaptive,classical_adaptive,60.0,12,0.0,0.0,7.333,5,720.0,15.0,1.6739,3846.79,0.0007,,,0.0,0.0,0.0,0.0,0.0,0.0
High,42,QUBO Exact,exact,60.0,7,0.0,0.0,7.883,7,420.0,15.0,1.6789,3858.25,0.00061,,,0.0,0.55,-300.0,0.0,0.005,11.46
