state_label,seed,exact_objective,qaoa_objective,exact_match,objective_gap,selected_first_green_seconds,selected_second_green_seconds,shots,repetitions
balanced,42,1.265306122449033,1.265306122449033,True,0.0,30,30,2048,2
phase_0_heavy,42,4.969078175842014,4.969078175842014,True,0.0,40,22,2048,2
phase_2_heavy,42,4.969078175842014,7.744897959183618,False,2.7758197833416034,30,40,2048,2
balanced,43,1.265306122449033,1.265306122449033,True,0.0,30,30,2048,2
phase_0_heavy,43,4.969078175842014,12.977324263038554,False,8.00824608719654,40,40,2048,2
phase_2_heavy,43,4.969078175842014,4.969078175842014,True,0.0,22,40,2048,2
balanced,44,1.265306122449033,1.265306122449033,True,0.0,30,30,2048,2
phase_0_heavy,44,4.969078175842014,4.969078175842014,True,0.0,40,22,2048,2
phase_2_heavy,44,4.969078175842014,4.969078175842014,True,0.0,22,40,2048,2
balanced,45,1.265306122449033,1.450680272108798,False,0.18537414965976495,30,40,2048,2
phase_0_heavy,45,4.969078175842014,4.969078175842014,True,0.0,40,22,2048,2
phase_2_heavy,45,4.969078175842014,4.969078175842014,True,0.0,22,40,2048,2
balanced,46,1.265306122449033,1.450680272108798,False,0.18537414965976495,40,30,2048,2
phase_0_heavy,46,4.969078175842014,7.7448979591837315,False,2.775819783341717,40,30,2048,2
phase_2_heavy,46,4.969078175842014,10.794176763407563,False,5.825098587565549,22,30,2048,2
